,model,class,MSE
0,arima,幼儿园平均人数,448.8918793112993
1,arima,小学平均人数,25.98185472263513
2,arima,中学平均人数,2118.428099999957
3,poly,幼儿园平均人数,2077.2611481600206
4,poly,小学平均人数,5940.699043478676
5,poly,中学平均人数,22857.38389015222
6,panet,幼儿园平均人数,1225.18032858117
7,panet,小学平均人数,28253.078993073625
8,panet,中学平均人数,6532.638659569183
9,lgbm_ar,幼儿园平均人数,77.38080961560354
10,lgbm_ar,小学平均人数,30.779900577245296
11,lgbm_ar,中学平均人数,227.7353368108149
12,lgbm_po,幼儿园平均人数,77.38080961560354
13,lgbm_po,小学平均人数,30.779900577245296
14,lgbm_po,中学平均人数,227.7353368108149
15,lgbm_pa,幼儿园平均人数,77.38080961560354
16,lgbm_pa,小学平均人数,30.779900577245296
17,lgbm_pa,中学平均人数,373.4337093070667
