,X,Y,Class
0,1978,30.0,True
1,1979,30.0,True
2,1980,33.77,True
3,1981,33.55,True
4,1982,33.19,True
5,1983,33.03,True
6,1984,33.01,True
7,1985,33.82,True
8,1986,33.8,True
9,1987,33.65,True
10,1988,34.02,True
11,1989,34.75,True
12,1990,34.57,True
13,1991,35.11,True
14,1992,37.07,True
15,1993,37.93,True
16,1994,38.37,True
17,1995,41.08,True
18,1996,43.67,True
19,1997,46.26,True
20,1998,48.31,True
21,1999,52.69,True
22,2000,56.19,True
23,2001,61.03,True
24,2002,65.62,True
25,2003,69.68,True
26,2004,73.48,True
27,2005,77.22,True
28,2006,80.6,True
29,2007,83.4,True
30,2008,85.65,True
31,2009,87.38,True
32,2010,89.97,True
33,2011,90.97,True
34,2012,91.72,True
35,2013,92.07,True
36,2014,93.46,True
37,2015,94.24,True
38,2016,95.02,True
39,2017,95.55,True
40,2018,96.57,True
41,2019,97.87,True
42,2020,98.99,True
43,1978,29.991685606409284,Pred
44,1979,29.98631689224856,Pred
45,1980,33.73214451827498,Pred
46,1981,33.55916389809933,Pred
47,1982,33.21987062366298,Pred
48,1983,33.066455902330844,Pred
49,1984,32.98323267475531,Pred
50,1985,33.757023436532286,Pred
51,1986,33.867810888831045,Pred
52,1987,33.68149318707693,Pred
53,1988,33.944860211416724,Pred
54,1989,34.7436040747977,Pred
55,1990,34.60874070706549,Pred
56,1991,35.11006428107493,Pred
57,1992,37.06723231060692,Pred
58,1993,37.94076912295257,Pred
59,1994,38.45119242032124,Pred
60,1995,40.99408067761934,Pred
61,1996,43.75333325468257,Pred
62,1997,46.23570634613879,Pred
63,1998,48.26557635094363,Pred
64,1999,54.269780331684565,Pred
65,2000,54.269780331684565,Pred
66,2001,60.937534375815616,Pred
67,2002,65.67787119808925,Pred
68,2003,69.66585130219448,Pred
69,2004,73.4757370292027,Pred
70,2005,78.40148910286638,Pred
71,2006,78.40148910286638,Pred
72,2007,83.3875772871157,Pred
73,2008,85.6489950780894,Pred
74,2009,87.8834073244181,Pred
75,2010,87.8834073244181,Pred
76,2011,90.94468480598705,Pred
77,2012,91.82428547236348,Pred
78,2013,92.0355059381586,Pred
79,2014,93.48775294731949,Pred
80,2015,94.276503361691,Pred
81,2016,94.94133981068742,Pred
82,2017,95.5719918842934,Pred
83,2018,96.63571856978275,Pred
84,2019,97.76412437822835,Pred
85,2020,99.01103154212586,Pred
86,2021,83.85798033757494,Pred
87,2022,83.85798033757494,Pred
88,2023,83.85798033757494,Pred
89,2024,83.85798033757494,Pred
90,2025,83.85798033757494,Pred
91,2026,83.85798033757494,Pred
